League	Team Name	Date Added	Team Type	&nbsp;	&nbsp;	&nbsp;	
Orange County Rollergirls	Back Bay Bombshells	04-13-08	League	&nbsp;	&nbsp;	&nbsp;	
Orange County Rollergirls	Huntington Heartbreakers	04-13-08	League	&nbsp;	&nbsp;	&nbsp;	
O-Town Derby Dames	Ladies of Capone	03-17-08	League	&nbsp;	&nbsp;	&nbsp;	
O-Town Derby Dames	Pink Ladies	10-15-08	Travel	&nbsp;	&nbsp;	&nbsp;	
O-Town Derby Dames	Sailor Marys	03-17-08	League	&nbsp;	&nbsp;	&nbsp;	
O-Town Derby Dames	Sucker Punch Sweethearts	08-16-08	League	&nbsp;	&nbsp;	&nbsp;	
O-Town Derby Dames	25th St. Crawlers	01-16-11	Junior	&nbsp;	&nbsp;	&nbsp;	
Ottawa Roller Derby	Bytown Black Harts	09-14-07	League	&nbsp;	&nbsp;	&nbsp;	
Ottawa Roller Derby	Capital Carnage	07-25-08	League	&nbsp;	&nbsp;	&nbsp;	
Ottawa Roller Derby	Ottawa Roller Girls	09-01-08	League	&nbsp;	&nbsp;	&nbsp;	
Ottawa Roller Derby	Roll Star	05-17-08	League	&nbsp;	&nbsp;	&nbsp;	
Outlawed Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Oxnard Derby Dames	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Pacific Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Pacific View Derby Vixons	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Palmerston North Roller Girls	&nbsp;	08-20-10	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Palmetto State Rollergirls	Psycho Killers	04-18-07	League	&nbsp;	&nbsp;	&nbsp;	
Panama City Roller Derby	Boondock Sinners	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Panama City Roller Derby	Miracle Strippers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Paradise Roller Girls	Paradise Roller Girls	7-9-2010	League	&nbsp;	&nbsp;	&nbsp;	
Paper Valley Roller Girls	TNA (totally nonstop action)	07-23-08	League	&nbsp;	&nbsp;	&nbsp;	
Paper Valley Roller Girls	Paper Valley Roller Girls All Stars	03-09-09	League	&nbsp;	&nbsp;	&nbsp;	
Paper Valley Roller Girls	Paper Valley Flyin' Squirrels	03-09-09	League	&nbsp;	&nbsp;	&nbsp;	
Pearl River Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Penn Jersey She Devils	Penn Jersey She Devils	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Penn Jersey She Devils	DisHonor Roll	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Penn Jersey She Devils	Fallen Angels	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Penn Jersey She Devils	Sadistic Sweethearts	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Penn Jersey She Devils	Hellcity Hooligans	05-24-07	Men	&nbsp;	&nbsp;	&nbsp;	
The Percilla Gorillas	The Percilla Gorillas	3-31-2011	League	&nbsp;	&nbsp;	&nbsp;	
Perth Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Phantom Canyon Roller Derby	Phantom Canyon Rollers	2-28-2011	League	&nbsp;	&nbsp;	&nbsp;	
Philly Rollergirls	Broad Street Butchers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Philly Rollergirls	Heavy Metal Hookers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Philly Rollergirls	Hostile City Honeys	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Philly Rollergirls	Liberty Belles	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Philly Rollergirls	Philthy Britches	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Pikes Peak Roller Derby	Candy Snipers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Pikes Peak Roller Derby	Danger Dolls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Pile O' Bones Derby Club	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Pioneer Valley Roller Derby	Bad Habits	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Pioneer Valley Roller Derby	Beauty School Knockouts	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Pioneer Valley Roller Derby	Dirty Dozen	&nbsp;	Mens	&nbsp;	&nbsp;	&nbsp;	
Pioneer Valley Roller Derby	Skates on a Plane	12-06-06	Travel	&nbsp;	&nbsp;	&nbsp;	
Pirate City Rollers	Blackheart Bruisers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Pirate City Rollers	Dead Wreckoning	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Pirate City Rollers	Mascara Massacre	09-05-07	League	&nbsp;	&nbsp;	&nbsp;	
Pittsfield Panty Raid	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Plattsburgh Roller Derby	The North Country Lumber Jills	07-08-10	League	&nbsp;	&nbsp;	&nbsp;	
Plymouth Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Pocono High Rollers	Brookside Bashers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Port City Roller Girls	Port City Roller Girls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Portland Men's Roller Derby	Portland Men's Roller Derby	9-28-2010	League	&nbsp;	&nbsp;	&nbsp;	
Portland Rose Buds	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Prince Albert Roller Derby Girls	Prince Albert Roller Derby Girls	1-27-2011	League	&nbsp;	&nbsp;	&nbsp;	
Prison City Derby Dames	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Preston Roller Girls	Preston Roller Girls	4-4-2011	League	&nbsp;	&nbsp;	&nbsp;	
Providence Roller Derby	Killah Bees	11-15-07	League	&nbsp;	&nbsp;	&nbsp;	
Providence Roller Derby	Mob Squad	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Providence Roller Derby	Old Money Honeys	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Providence Roller Derby	Rhode Island Riveters	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Providence Roller Derby	Sakonnet River Roller Rats	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Pueblo Derby Devil Dollz	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Puget Sound Outcast Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Q-Town Roller Dolls	Q-Town Roller Dolls	8-6-2010	League	&nbsp;	&nbsp;	&nbsp;	
Quad-City Rollers	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
The Quadfathers	The Quadfathers	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Queen City Roller Girls	Lake Effect Furies	9-21-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Queen City Roller Girls	Alley Katz	06-11-08	League	&nbsp;	&nbsp;	&nbsp;	
Queen City Roller Girls	Devil Dollies	06-11-08	League	&nbsp;	&nbsp;	&nbsp;	
Queen City Roller Girls	Nickel City Knock Outs	06-11-08	League	&nbsp;	&nbsp;	&nbsp;	
Queen City Roller Girls	Suicidal Saucies	06-11-08	League	&nbsp;	&nbsp;	&nbsp;	
Race City Rebels	Race City Rebels	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Radioactive City Rollergirls	The Atomics	05-19-07	League	&nbsp;	&nbsp;	&nbsp;	
Radioactive City Rollergirls	Fallout Femme Fatales	10-13-10	League	&nbsp;	&nbsp;	&nbsp;	
Rage City Rollergirls	Dirty Pollis	12-16-08	League	&nbsp;	&nbsp;	&nbsp;	
Rage City Rollergirls	Sockeye Sallys	12-16-08	League	&nbsp;	&nbsp;	&nbsp;	
Rainy City Roller Dolls	Rainy City Roller Dolls	11-08-07	League	&nbsp;	&nbsp;	&nbsp;	
Rainy City Roller Girls	Tender Hooligans	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Rainy City Roller Girls	Storm Sirens	09-12-08	League	&nbsp;	&nbsp;	&nbsp;	
Rainy City Roller Girls	Queens of Hail	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Randall County Roller Dames	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Rat City Rollergirls	Rat City All-Stars	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Rat City Rollergirls	Rain of Terror	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Rat City Rollergirls	Derby Liberation Front	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Rat City Rollergirls	Grave Danger	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Rat City Rollergirls	Sockit Wenches	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Rat City Rollergirls	Throttle Rockets	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Rated PG Rollergirls	Brain-Eating Betties	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Rated PG Rollergirls	Damned Dolls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Razor City Roller Dolls	Razor City Roller Dolls	2-3-2011	League	&nbsp;	&nbsp;	&nbsp;	
Rebellion Rollergirls	Rebellion Rollergirls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Red Deer Roller Derby Association	Red Deer Belladonnas	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Red Deer Roller Derby Association	The Heavy Duty Chickanics	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Red Deer Roller Derby Association	Death Row Derby Dolls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Red Dirt Rebellion Rollergirls	Red Dirt Rebellion Rollergirls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Red Lion Roller Derby	The Pirate Brides Wuppervalley	8-20-2010	League	&nbsp;	&nbsp;	&nbsp;	
Red Rockettes Recreational Roller Derby	Red Rockettes Recreational Roller Derby	4-2-2011	League	&nbsp;	&nbsp;	&nbsp;	
Red Stick Roller Derby	Capital Offenders	7-21-2009	League	&nbsp;	&nbsp;	&nbsp;	
Reedy River Rollergirls	Project Mayhem	03-15-07	League	&nbsp;	&nbsp;	&nbsp;	
Reedy River Rollergirls	Renegades of Funk	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Reef City Roller Girls	Cane Sugars	2-11-2011	League	&nbsp;	&nbsp;	&nbsp;	
Reef City Roller Girls	Monsoon Maidens	2-11-2011	League	&nbsp;	&nbsp;	&nbsp;	
Redding Rollergirls	Angry Beavers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Redding Rollergirls	Rolling Dead	8-20-2010	League	&nbsp;	&nbsp;	&nbsp;	
Redneck Daisies Roller Derby	Redneck Daisies Roller Derby	4-13-2011	League	&nbsp;	&nbsp;	&nbsp;	
Reign Valley Vixens	Doomsday Bunnies	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Reign Valley Vixens	Anarchy Angles	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Reign Valley Vixens	Kiss Me Deadlies	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Reign Valley Vixens	R Rated Rollergirls	8-13-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Renegade Rollergirls (AZ)	Renegade Rollergirls (AZ)	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Renegade Rollergirls (AZ)	EasyRiders	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Renegade Rollergirls (AZ)	French Kiss Army	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Renegade Rollergirls (AZ)	Militia	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Renegade Rollergirls (AZ)	Mother Truckers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Renegade Rollergirls (San Diego, CA)	Detention Dames	08-18-08	League	&nbsp;	&nbsp;	&nbsp;	
Renegade Rollergirls (San Diego, CA)	Scally Hags	08-18-08	League	&nbsp;	&nbsp;	&nbsp;	
Renegade Rollergirls (San Diego, CA)	Jessie Damies	04-02-09	League	&nbsp;	&nbsp;	&nbsp;	
Renegade Rollergirls (San Diego, CA)	Auntie Dotes	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Renegade Rollergirls (San Diego, CA)	Sailor Cherries	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Renegade Rollergirls (OC)	No Holds Barred Roller Derby	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Renegade Rollergirls (OR)	86'd	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Renegade Rollergirls (OR)	Radar Lovers	02-06-07	League	&nbsp;	&nbsp;	&nbsp;	
Renegade Rollergirls (OR)	Skull Rollers	02-06-07	League	&nbsp;	&nbsp;	&nbsp;	
Renegade Rollergirls (OR)	Wicked Pussycats	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Renegade RollerGirls (Rogue. OR)	Renegade RollerGirls (Rogue. OR)	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Renegade Rollergirls (So Cal)	Renegade Rollergirls (So Cal)	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Reno Rollergirls	Stiff Broads	1-3-2011	League	&nbsp;	&nbsp;	&nbsp;	
Reno Rollergirls	Mafia Mollies	03-02-09	League	&nbsp;	&nbsp;	&nbsp;	
Reno Rollergirls	Deck 'Em Dolls	03-02-09	League	&nbsp;	&nbsp;	&nbsp;	
Reno Rollergirls	Bang Bang Betties	01-03-11	League	&nbsp;	&nbsp;	&nbsp;	
Richland County Regulators	Richland County Regulators	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Richmond Derby Demons	Astro Assassins	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Richmond Derby Demons	Belle Isle Brawlers	01-10-07	Travel	&nbsp;	&nbsp;	&nbsp;	
Richmond Derby Demons	Sideshow Hustlers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Richter City Roller Derby	Richter City Roller Derby	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Rideau Valley Roller Girls	Slaughter Daughters	02-25-09	League	&nbsp;	&nbsp;	&nbsp;	
Rideau Valley Roller Girls	Riot Squad	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Rideau Valley Roller Girls	Vixens	04-09-11	Travel	&nbsp;	&nbsp;	&nbsp;	
Rideau Valley Roller Girls	Rideau Valley Vixens	08-03-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Ridge Meadows Roller Derby	Ridge Meadows Reapers	06-03-11	Leage	&nbsp;	&nbsp;	&nbsp;	
Ring City Rollers	Ring City Rollers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
River City Rollergirls	Poes Punishers	02-12-07	A Travel	&nbsp;	&nbsp;	&nbsp;	
River City Rollergirls	Uncivil Warriers	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
River Valley Rollergirls	Hangin' City Harlots	07-29-09	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Roc City Roller Derby	Roc City Roller Derby	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
RocKArollers	rocKArollers	1-27-2011	League	&nbsp;	&nbsp;	&nbsp;	
Rock City Riot	Rock City Riot	1-2-2011	Travel	&nbsp;	&nbsp;	&nbsp;	
Rock City Riot	Quad Brawlers	1-2-2011	League	&nbsp;	&nbsp;	&nbsp;	
Rock City Riot	Hipcheck Murphys	1-2-2011	League	&nbsp;	&nbsp;	&nbsp;	
Rockford Rage	Rockford Rage	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Rockford Rage	Midwest Maulers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Rockford Rage	Screw City Slammers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Rockford Rage	Rag Dolls	11-25-2011	League	&nbsp;	&nbsp;	&nbsp;	
Rockin' Rural Roller Girls	Misfit Mafia	6-17-2010	League	&nbsp;	&nbsp;	&nbsp;	
Rockin' Rural Roller Girls	Intimidation Nation	6-17-2010	League	&nbsp;	&nbsp;	&nbsp;	
Rockin' Rural Roller Girls	Nurse Ratchets	6-17-2010	League	&nbsp;	&nbsp;	&nbsp;	
Rockin' Rural Roller Girls	Knuckle Dusters	6-17-2010	League	&nbsp;	&nbsp;	&nbsp;	
Rockin' Rural Roller Girls	Miss American Pies	6-17-2010	League	&nbsp;	&nbsp;	&nbsp;	
Rockin' Rural Roller Girls	Sangria De Muerta	6-17-2010	League	&nbsp;	&nbsp;	&nbsp;	
Rocktown Rollers	Rocktown Rollers	4-3-2011	League	&nbsp;	&nbsp;	&nbsp;	
Rocky Mountain Rollergirls	5280 Fight Club	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Rocky Mountain Rollergirls	Contenders	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Rocky Mountain Rollergirls	Dooms Daisies	05-14-08	League	&nbsp;	&nbsp;	&nbsp;	
Rocky Mountain Rollergirls	Red Ridin' Hoods	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Rocky Mountain Rollergirls	Sugar Kill Gang	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Rocky Mountain Rollergirls	Kill Scouts	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Roe City Rollers	Roe City Rollers	6-21-2011	League	&nbsp;	&nbsp;	&nbsp;	
Rogue Rollergirls	Ritzy Rollers	02-26-07	League	&nbsp;	&nbsp;	&nbsp;	
Rogue Rollergirls	HomeWreckers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Roller Derby Quebec	Les Duchesses	02-24-11	Team	&nbsp;	&nbsp;	&nbsp;	
Roller Derby Toulouse	Roller Derby Toulouse	02-22-11	League	&nbsp;	&nbsp;	&nbsp;	
Roller Divas	Roller Divas	01-14-11	League	&nbsp;	&nbsp;	&nbsp;	
Roller Girls of Chautauqua County	Babes of Wrath	06-21-10	League	&nbsp;	&nbsp;	&nbsp;	
Rollergettes	Rollergettes	12-07-09	Travel	&nbsp;	&nbsp;	&nbsp;	
Rollergettes	West Side Waywards	12-07-09	League	&nbsp;	&nbsp;	&nbsp;	
Rollergirls of Southern Indiana	Rollergirls of Southern Indiana	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Rollers de Lafayette	Rollers de Lafayette	09-21-10	League	&nbsp;	&nbsp;	&nbsp;	
Rollin' Ragdolls	Rollin' Ragdolls	04-24-11	League	&nbsp;	&nbsp;	&nbsp;	
Rome Rollergirls	Rome Rollergirls	08-28-10	League	&nbsp;	&nbsp;	&nbsp;	
Romsey Town Rollerbillies	Romsey Town Rollerbillies	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Romsey Town Rollerbillies	Acid Pain	12-6-2010	League	&nbsp;	&nbsp;	&nbsp;	
Romsey Town Rollerbillies	Mingbots	12-6-2010	League	&nbsp;	&nbsp;	&nbsp;	
Romsey Town Rollerbillies	Team Rock	12-6-2010	League	&nbsp;	&nbsp;	&nbsp;	
Romsey Town Rollerbillies	Team Paper	12-6-2010	League	&nbsp;	&nbsp;	&nbsp;	
Romsey Town Rollerbillies	Team Scissors	12-6-2010	League	&nbsp;	&nbsp;	&nbsp;	
Romsey Town Rollerbillies	Team East Angrier	12-6-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Rose City Rollers	All Stars/Wheels of Justice	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Rose City Rollers	Axles of Annihilation	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Rose City Rollers	Break Neck Betties	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Rose City Rollers	Guns 'N' Rollers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Rose City Rollers	Heartless Heathers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Rose City Rollers	Highrollers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Rose City Rollers	Rose Buds	&nbsp;	Junior	&nbsp;	&nbsp;	&nbsp;	
Rose City Rollers	The Wreckers	&nbsp;	Rec	&nbsp;	&nbsp;	&nbsp;	
Rotterdam Death Row Honeys	Rotterdam Death Row Honeys	11-24-2010	League	&nbsp;	&nbsp;	&nbsp;	
Route 66 Roller Derby	Route 66 Roller Derby	01-16-07	Travel	&nbsp;	&nbsp;	&nbsp;	
Royal City Rollergirls	Killer Queens	12-10-10	League	&nbsp;	&nbsp;	&nbsp;	
Royal City Rollergirls	Violet Uprising	12-10-10	League	&nbsp;	&nbsp;	&nbsp;	
Royal City Rollergirls	Our Ladies of Pain	04-05-11	League	&nbsp;	&nbsp;	&nbsp;	
Royal Windsor Roller Girls	Who Dares Windsor	08-20-10	League	&nbsp;	&nbsp;	&nbsp;	
Royal Windsor Roller Girls	Transition Vamps	05-28-11	League	&nbsp;	&nbsp;	&nbsp;	
Royal Windsor Roller Girls	Block-It Scientists	05-28-11	League	&nbsp;	&nbsp;	&nbsp;	
Royal Windsor Roller Girls	B-Headers	05-28-11	Travel	&nbsp;	&nbsp;	&nbsp;	
Royal Windsor Roller Girls	The Jukes of Hazard	05-28-11	League	&nbsp;	&nbsp;	&nbsp;	
Royal Windsor Roller Girls	Rave Diggers	06-07-11	League	&nbsp;	&nbsp;	&nbsp;	
Royal Windsor Roller Girls	New Rollmantics	06-07-11	League	&nbsp;	&nbsp;	&nbsp;	
Rubber City Rollergirls	Rubber City Demolition Dolls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Rushmore Rollerz	Black Ninjas	12-13-08	League	&nbsp;	&nbsp;	&nbsp;	
Rushmore Rollerz	Rabid Bambies	12-13-08	League	&nbsp;	&nbsp;	&nbsp;	
Sac City Rollers	Capitol Punishers	06-25-08	Travel	&nbsp;	&nbsp;	&nbsp;	
Sac City Rollers	Folsom Prison Bruisers	06-25-08	Travel	&nbsp;	&nbsp;	&nbsp;	
Sacred City Derby Girls	Sacrificers	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Sacred City Derby Girls	Disciples	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Salt City Derby Girls	Leave it to Cleavers	08-27-06	League	&nbsp;	&nbsp;	&nbsp;	
Salt City Derby Girls	Sisters of No Mercy	08-27-06	League	&nbsp;	&nbsp;	&nbsp;	
Salt City Derby Girls	Bomber Babes	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Salt City Derby Girls	Death Dealers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Salt City Derby Girls	Salt City Shakers	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
San Diego Derby Dolls	Diego Rollers	01-17-07	League	&nbsp;	&nbsp;	&nbsp;	
San Diego Derby Dolls	Hard Corps	03-05-08	League	&nbsp;	&nbsp;	&nbsp;	
San Diego Derby Dolls	San Diego Hard Corps	01-17-07	League	&nbsp;	&nbsp;	&nbsp;	
San Diego Derby Dolls	San Diego Wildfires	01-07-09	Travel	&nbsp;	&nbsp;	&nbsp;	
San Diego Derby Dolls	The Swarm	01-07-09	League	&nbsp;	&nbsp;	&nbsp;	
San Diego Roller Derby	Starlettes	10-16-08	League	&nbsp;	&nbsp;	&nbsp;	
San Diego Roller Derby	Rockettes	05-16-10	League	&nbsp;	&nbsp;	&nbsp;	
San Diego Roller Derby	619ers	12-08-10	Men	&nbsp;	&nbsp;	&nbsp;	
San Diego Roller Derby	Cadettes	12-08-10	Junior	&nbsp;	&nbsp;	&nbsp;	
San Antonio Roller Derby	San Antonio Roller Derby	08-20-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Sandusky Rollergirls	Sandusky Rollergirls	09-28-10	League	&nbsp;	&nbsp;	&nbsp;	
Santa Cruz Roller Girls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Sarasota County Roller Derby	Sarasota Rollerpops	12-10-07	League	&nbsp;	&nbsp;	&nbsp;	
Sault Roller Girls	Hades Ladies	01-16-08	League	&nbsp;	&nbsp;	&nbsp;	
Sault Roller Derby	Soonami Slammers	5-18-2011	League	&nbsp;	&nbsp;	&nbsp;	
Savannah Derby Devils	Savannah Derby Devils	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
SC AllScars	SC AllScars	03-27-08	Travel	&nbsp;	&nbsp;	&nbsp;	
Scenic City Roller Psychos	Scenic City Roller Psychos	3-21-2011	League	&nbsp;	&nbsp;	&nbsp;	
Seacoast Roller Pixies	Seacoast Roller Pixies	11-13-2011	League	&nbsp;	&nbsp;	&nbsp;	
Seattle Derby Brats	Evil Angels	10-13-2010	League	&nbsp;	&nbsp;	&nbsp;	
Seattle Derby Brats	Poison Skid'les	10-13-2010	League	&nbsp;	&nbsp;	&nbsp;	
Seattle Derby Brats	Galaxy Girls	10-13-2010	League	&nbsp;	&nbsp;	&nbsp;	
Seattle Derby Brats	Toxic AvengHers	10-13-2010	League	&nbsp;	&nbsp;	&nbsp;	
Seattle Derby Brats	Film Fatales	10-13-2010	League	&nbsp;	&nbsp;	&nbsp;	
Seattle Derby Brats	Tootsy Rollers	10-13-2010	League	&nbsp;	&nbsp;	&nbsp;	
Seattle Derby Brats	Junior Mints	10-13-2010	League	&nbsp;	&nbsp;	&nbsp;	
Severn Roller Torrent	Severn Roller Torrent	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Shasta Derby	Shasta Derby	11-9-2010	League	&nbsp;	&nbsp;	&nbsp;	
Sheffield Steel Roller Girls	Crucibelles	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Sheffield Steel Roller Girls	Death Leopards	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Shore Points Roller Derby	Boardwalk Brawlers	05-15-07	League	&nbsp;	&nbsp;	&nbsp;	
Shrewsbury Roller Derby	Evolution Rollergirls	04-14-10	League	&nbsp;	&nbsp;	&nbsp;	
Sick Town Derby Dames	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Silicon Valley Roller Girls	Dot.Kamikazes	01-26-09	A Travel	&nbsp;	&nbsp;	&nbsp;	
Silicon Valley Roller Girls	KillaBytes (cleared)	08-20-10	B Travel	&nbsp;	&nbsp;	&nbsp;	
Single Handed Roller Derby	Tough Suprises	05-27-10	League	&nbsp;	&nbsp;	&nbsp;	
Sioux City Roller Dames	Sioux City Roller Dames	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Sioux Falls Roller Dollz	Doll Starz	02-14-07	A Travel	&nbsp;	&nbsp;	&nbsp;	
Sioux Falls Roller Dollz	Killa Beez	02-14-07	B Travel	&nbsp;	&nbsp;	&nbsp;	
Siskiyou County Roller Derby	Betty ClockHers	05-18-11	League	&nbsp;	&nbsp;	&nbsp;	
Siskiyou County Roller Derby	Renegade Rag Dolls	05-18-11	League	&nbsp;	&nbsp;	&nbsp;	
Sis-Q Rollerz	Sis-Q Rollerz	05-27-10	League	&nbsp;	&nbsp;	&nbsp;	
Skee Town Skirts	Skee Town Skirts	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Skyland Roller Girls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
